Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
28/02/2017,"Sandycove, Sidmondton Road, Greystones",,Wicklow,"€559,471.36",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
23/12/2011,"Kildarragh, Creeslough",,Donegal,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2020,"10 BROOKFIELD, ROCHFORTBRIDGE, CO. WESTMEATH",,Westmeath,"€55,175.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/02/2013,"2 Obelisk Avenue, Blackrock",,Dublin,"€266,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2021,"APT 2, 11 HARCOURT TERRACE, DUBLIN 2",Dublin 2,Dublin,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2014,"Apt 349 Charlestown Centre, Charlestown Place, St. Margaret's Road  Finglas",Dublin 11,Dublin,"€145,564.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2016,"Lán Mara, Lower Point Road, Dundalk",,Louth,"€295,154.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/09/2021,"18 Mill Brook, Millerstown, Maynooth Road",,Meath,"€312,775.33",No,Yes,New Dwelling house /Apartment,
10/07/2013,"10 Willimastown Glen, Williamstown, Waterford",,Waterford,"€117,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2021,"66 ST PATRICKS RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2013,"Kilroughter, Castlegar",,Galway,"€273,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2018,"5 Shackleton Drive, Shackleton Park, Lucan",,Dublin,"€312,775.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/01/2019,"13 Cois Abhainn, Multyfarnham",,Westmeath,"€343,612.00",No,Yes,New Dwelling house /Apartment,
22/11/2019,"24 THE DEANERY, STATION RD, DEANERY",,Kildare,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2020,"18 THE DARGLE, PROSPECT HILL, FINGLAS DUBLIN 11",Dublin 11,Dublin,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2018,"23 Broadlands, Ballinclea Road, Killiney",,Dublin,"€762,115.00",No,Yes,New Dwelling house /Apartment,
07/10/2015,"CLADNAGERAGH, KILCAR, CO DONEGAL",,Donegal,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2021,"EMMANUEL LODGE, RATHRONAN, CLONMEL",,Tipperary,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2020,"OLD SCHOOL HOUSE, DOHORA, BANOGUE",,Limerick,"€186,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2013,"22 m\igh Dara, Quin, Co Clare",,Clare,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"90 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,"€182,248.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2021,"1 Racecourse Park, The Coast, Baldoyle",Dublin 13,Dublin,"€396,475.00",No,Yes,New Dwelling house /Apartment,
20/07/2010,"1456 Kilberry, Athy",,Kildare,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2010,"47 Doddsboro Road, Adamstown",,Dublin,"€162,995.59",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/08/2017,"CARROWMORE, STRANDHILL, CO SLIGO",,Sligo,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2021,"2 CLOCHA TRA, OMEATH, LOUTH",,Louth,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2015,"THE HEIGHTS, GORTAHORK, LETTERKENNY",,Donegal,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2019,"73 MERCHANTS ROAD, EAST WALL, DUBLIN 3",Dublin 3,Dublin,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2013,"BALLAGHBEHY, ABBEYFEALE",,Limerick,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2021,"APARTMENT 1, THE OLD LOG CABIN, KILMONA",,Cork,"€425,000.00",Yes,Yes,New Dwelling house /Apartment,
27/10/2017,"5 THE ORCHARD, SWEETMOUNT AVE, DUNDRUM DUBLIN 14",Dublin 14,Dublin,"€482,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2011,"39 Springvale, Edmondstown Road, Rathfarnham",Dublin 16,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2021,"56 DRUMNAVANAGH, FARNHAM RD, CAVAN",,Cavan,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2019,"OLD GALWAY ROAD, BAYLOUGH, ATHLONE",,Westmeath,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2015,"42 ARD CAOIN, CLONMEL, TIPPERARY",,Tipperary,"€146,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2016,"APARTMENT 18, VICHORSCHORALAND, TUAM",,Galway,"€40,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/01/2015,"ANNVILLE, BALLYCLOUGH, ROSBRIEN",,Limerick,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2016,"WOODBINE COTTAGE, LOWER COOLCULLEN, VIA CARLOW",,Carlow,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"46 PALMERSTOWN SQ, PALMERSTOWN, DUBLIN 20",Dublin 20,Dublin,"€188,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/09/2015,"AISLING, LOUGHANBEG, INVERIN",,Galway,"€267,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2019,"3 HAWTHORN DR, WYCKHAM PARK, DUNDRUM DUBLIN 16",Dublin 16,Dublin,"€660,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2012,"No. 2 Long Quay, Clonakilty",,Cork,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2021,"25 VENETIAN HALL, HOWTH RD, DUBLIN 5",Dublin 5,Dublin,"€353,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2021,"18 CLUAIN RI ASHBOURNE, ASHBOURNE, MEATH",,Meath,"€291,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2015,"14 CLUAIR DARA, KNOCKNACARRA, GALWAY",,Galway,"€48,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/07/2016,"UPPER DOONFLYNN, SKREEN, COUNTY SLIGO",,Sligo,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2016,"80 Mile Stream, Shanakiel",,Cork,"€149,779.74",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/10/2020,"CLONBUN, TRIM, MEATH",,Meath,"€75,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
15/09/2011,"134 CURLEW ROAD, DRIMNAGH, DUBLIN 12",,Dublin,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2015,"25 Dalriada Court, Ballycullen Road",,Dublin,"€209,780.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/12/2016,"MAIN STREET CROOKHAVEN, CO CORK",,Cork,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2018,"20 Lanesborough Close, Saint Margaret's Road, Finglas",Dublin 9,Dublin,"€290,000.00",No,Yes,New Dwelling house /Apartment,
02/11/2021,"43 MILLBANK, THE LINKS, PORTMARNOCK",Dublin 13,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2015,"BALLINAKILL ROAD, ABBEYLEIX, CO LAOIS",,Laois,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2019,"37 RIVERGROVE, ORANMORE, GALWAY",,Galway,"€219,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2020,"34A OLD COURT PARK, BRAY, WICKLOW",,Wicklow,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2015,"47 MERLIN WOODS, GALWAY CITY, GALWAY",,Galway,"€72,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2018,"2 An Fearban, Furbo, Galway",,Galway,"€642,171.00",No,Yes,New Dwelling house /Apartment,
22/12/2015,"92 NEWMARKET SQ, MILL ST, DUBLIN 8",Dublin 8,Dublin,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2017,"Apartment 6 Loftus Hall, Hazelbrook Square, Whitehall Road",,Dublin,"€374,449.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/09/2018,"CONAH7 JENKINSTOWN, JENKINSTOWN, KILKENNY",,Kilkenny,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2014,"134 THE FAYTHE, FAYTHE, WEXFORD",,Wexford,"€57,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2015,"APT 1, 63/64 THOMAS STREET, DUBLIN 8",,Dublin,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2019,"3 Taylor Hill View, Naul Road, Ballbriggan",,Dublin,"€268,722.00",No,Yes,New Dwelling house /Apartment,
03/02/2021,"4 FURNESS WOOD, JOHNSTOWN, KILDARE",,Kildare,"€312,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2017,"63 CASTLEVIEW, NEWCASTLE WEST, CO LIMERICK",,Limerick,"€30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/01/2019,"CAPPAMORE, LIMERICK",,Limerick,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2020,"58 CARRICKMINES AVE, CARRICKMINES WOOD, BRENNANSTOWN RD DUBLIN 18",Dublin 18,Dublin,"€940,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2019,"ANAGRY 12, LETTERKENNY, CO DONEGAL",,Donegal,"€99,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2019,"LACKEN, RATHKENNY, NAVAN",,Meath,"€170,000.00",No,Yes,New Dwelling house /Apartment,
30/07/2013,"21 Kilmore Avenue, Artane, Dublin 5",,Dublin,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2019,"14 BELVEDERE DR, WATERFORD, WATERFORD",,Waterford,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2010,"4 Ard Na Dara, Clonard",,Wexford,"€217,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2017,"LOWER COOLE VILLAGE, COOLE, WESTMEATH",,Westmeath,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2014,"APT 22 BLOCK A, WATERSGATE BILBERRY WATERFORD, WATERFORD",,Waterford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2013,"210 McKee Avenue, Finglas",Dublin 11,Dublin,"€147,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2014,"16 AIKENHEAD TERRACE, STELLA GARDENS, RINGSEND DUBLIN 4",Dublin 4,Dublin,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"32 ROSSMORE PARK, NEWTOWNMOUNTKENNEDY, WICKLOW",,Wicklow,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2014,"75 RIDDLESFORD, BRAY, WICKLOW",,Wicklow,"€281,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2020,"44 MAIN ST, RATHFARNHAM, DUBLIN 14",Dublin 15,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2020,"32 HEMPFIELD CLOSE, ENNISCORTHY, WEXFORD",,Wexford,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2019,"3 GLEANN AN ATHA, LOWER KEELDRUM, GORTAHORK",,Donegal,"€43,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2014,"WHITESTOWN, GREENORE, CO LOUTH",,Louth,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2019,"Apartment 56 Hampton Wood Drive, Hampton Wood, St. Margaret's Road",Dublin 11,Dublin,"€317,181.00",Yes,Yes,New Dwelling house /Apartment,
18/12/2020,"8 SADDLERS PLACE, LUSK VILLAGE, LUSK",,Dublin,"€262,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"76 Beauliew Village, Termonfeckin Road, Drogheda",,Louth,"€200,000.00",No,Yes,New Dwelling house /Apartment,
14/07/2021,"5 An Bhruach Abhainn, Mogeely, Co. Cork",,Cork,"€409,692.00",No,Yes,New Dwelling house /Apartment,
18/11/2013,"136 Crossneen Manor, Graigue, Carlow",,Carlow,"€125,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/06/2018,"BLUE MOON, BALLYCOMCLONE, GOREY",,Wexford,"€495,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2018,"22 Cuil Duin Walk, Citywest",Dublin 24,Dublin,"€277,533.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/08/2021,"75 KIRWAN ST COTTAGES, MANOR ST, DUBLIN 7",Dublin 7,Dublin,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2010,"26 Lios Ard, Lisloose, Tralee",,Kerry,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2021,"24 CARLINN GREEN, MULLAHARLIN ROAD, DUNDALK",,Louth,"€230,859.00",No,Yes,New Dwelling house /Apartment,
01/07/2011,"87 Clonliffe Avenue, Ballybough",,Dublin,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2011,"6 The Friary, Maudlin Vale, Trim",,Meath,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/06/2018,"11 CHURCHFIELDS, ASHBOURNE, MEATH",,Meath,"€235,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2017,"2 HAWTHORN CRESCENT, CARRICK ON SHANNON, CO LEITRIM",,Roscommon,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2013,"14 Boyne Lodge, Old Slane Road, Drogheda",,Louth,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2019,"APT 114, THE STRAND, OCALLAGHAN STRAND",,Limerick,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/05/2020,"OHERMONG, CAHERCIVEEN, COUNTY KERRY",,Kerry,"€38,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2015,"67 KINCORA DR, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2017,"3 MERTON SQ, KILKEE, CLARE",,Clare,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2011,"Credim House, Kishawanny Lower, Carbury",,Kildare,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2020,"13 WOLFE TONE SQ WEST, BRAY, WICKLOW",,Wicklow,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2021,"23 CARRICKFOYLE TERRACE, KILMAINHAM DUBLIN 8, DUBLIN",Dublin 8,Dublin,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2014,"HILLSIDE COTTAGE, DOOEGA EAST, ACHILL",,Mayo,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/01/2014,"Greenhill Court Apartments, Greenhills Road, Tallaght",Dublin 24,Dublin,"€815,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2013,"Mountain Park, Carlingford",,Louth,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/02/2012,"Gleann, Sooey",,Sligo,"€28,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2019,"PERCIVAL ST, KANTURK, CORK",,Cork,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/05/2017,"DERRA, KILKISHEN, COUNTY CLARE",,Clare,"€52,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2018,"8 Riverside Walk, Riverstickk",,Cork,"€193,833.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/09/2017,"17 CNOC NA GAOITHE, LANESBORO, CO LONGFORD",,Longford,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2021,"96 KINCORA GROVE, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€735,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2016,"1 SIENNA VILLAS, BATTERY RD, ATHLONE",,Westmeath,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2017,"203 BEECHDALE, DUNBOYNE, MEATH",,Meath,"€332,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/04/2017,"CUILMORE, DRIMMIN, WESTPORT",,Mayo,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2019,"39 DARTY PARK, COOTEHILL, CO CAVAN",,Cavan,"€182,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2015,"Navarone, Brennanstown Road, Foxrock",Dublin 18,Dublin,"€1,300,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2016,"7 ST TERESAS RD, GLASNEVIN, DUBLIN 9",Dublin 9,Dublin,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/10/2019,"6 FITZHERBERT WOOD, SLANE RD, NAVAN",,Meath,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2015,"46 Castle Oak Crescent, Nenagh",,Tipperary,"€110,132.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/07/2020,"154 TYRCONNELL PARK, INCHICORE, DUBLIN 8",Dublin 8,Dublin,"€292,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2018,"29 MAIN ST, EAST END DRIMOLEAGUE, CORK",,Cork,"€22,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2021,"WHITE HILL COTTAGE, RAHEELIN, KILTYCLOGHER",,Leitrim,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/07/2021,"90 AIDAN PARK, SHANNON, CLARE",,Clare,"€153,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/10/2010,"19 Killegland House, Killegland Street, Ashbourne",,Meath,"€142,500.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
21/11/2011,"Rosings, Gortadooey, Claregalway",,Galway,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2012,"11 Greenfield Lane, Off Cove Street, Cork",,Cork,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/05/2016,"73 Maoilin, Ballymoneen Road, Knocknacarra",,Galway,"€214,878.85",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/08/2019,"ARDONAN, MILLTOWN, BELTURBET",,Cavan,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2013,"27 villa park, dundalk",,Louth,"€46,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2011,"Lissacreasig, Macroom",,Cork,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/08/2017,"103 BLOCK D AN TSEAN MHARGADH, MAGDALEN STREET, DROGHEDA",,Louth,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/10/2013,"Cashelnagor, Gortahork, Letterkenny",,Donegal,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/10/2021,"BALLYNAMUDDAGH, ARAGLEN, KILWORTH",,Cork,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2013,"4 MEADOWVALE, RAMELTON, LETTERKENNY",,Donegal,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2016,"90 LORETO AVE, RATHFARNHAM DUBLIN 14, DUBLIN",Dublin 14,Dublin,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2015,"24 Merton Road, Rathmines",Dublin 6,Dublin,"€1,525,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2015,"5 HOLYWELL HEATH, SWORDS, DUBLIN",,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2020,"BALLINTURRERT, ATHY, COUNTY LAOIS",,Laois,"€182,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2021,"70 ROSEHILL, NEWPORT, TIPPERARY",,Tipperary,"€167,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2017,"45 Roseland Avenue, Cualanor, Upper Glenageary Road",,Dublin,"€638,766.51",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
19/04/2017,"AVERLEIGH, 3 RECTORY ROAD, YOUGHAL",,Cork,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2010,"36 Stocking Wood Copse, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,"€207,048.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/07/2015,"4 park row, clongriffin",Dublin 13,Dublin,"€241,396.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
03/12/2014,"THE HEIGHT, KNOCKATOMCOYLE, TINAHELY",,Wicklow,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"No.60 Cnoc Na Gaoithe, Lanesboro",,Longford,"€40,599.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/09/2018,"45 CHELMSFORD ROAD, RANELAGH, DUBLIN 6",Dublin 6,Dublin,"€840,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/04/2020,"33 CLUANREA, CAHERROYN, ATHENRY",,Galway,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2021,"3C JOHN ST, KILRUSH, CO CLARE",,Clare,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2014,"12 The Square, Aubrey Manor, Rathcoole",,Dublin,"€380,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
09/07/2015,"603 Newtown House, Henry Street",,Limerick,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2020,"113 CLONLEA, MOUNT OVAL VILLAGE, ROCHESTOWN",,Cork,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"25 Hawthorn Hill, Rakeevan, Bailieborough",,Cavan,"€83,700.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/10/2011,"20 Fairyfield, Parteen",,Clare,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2018,"23 PRESTON PARK, JULIANSTOWN, MEATH",,Meath,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/06/2020,"2 THE SQUARE, MILLSTREET, CORK",,Cork,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2015,"48 CAPELLA COURT, LANGTONS CROSS, NEWBRIDGE",,Kildare,"€141,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2019,"LYNN RD, MULLINGAR, WESTMEATH",,Westmeath,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2014,"BEHANE, CASTLECOBH, KERRY",,Kerry,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2014,"1 CARHOOKEAL, MALLOW, CORK",,Cork,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2018,"15 ACORN WAY, WHEATON HALL, DROGHEDA",,Louth,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2017,"41 KNOCKLYNE VALLEY, SUNHILL, KILLORGLIN",,Kerry,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2020,"17 CONNOLLY AVE, INCHICORE, DUBLIN 8",Dublin 8,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2016,"3 UPPER EDEN RD, DUN LAOGHAIRE, DUBLIN",,Dublin,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/07/2018,"9 SLANLISS, COLLINS AVE, DUNMORE RD",,Waterford,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/05/2020,"47 GROVE ISLAND STUDENT VILLAGE, GROVE ISLAND, CORBALLY",,Limerick,"€249,433.00",No,Yes,New Dwelling house /Apartment,
12/03/2015,"4 BARRETTS LANE, PARNELL ST, ENNIS",,Clare,"€30,250.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2012,"150 Leargan, Ballymoneen West, Galway",,Galway,"€60,043.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2016,"77 ELMVALE, SARSFIELD RD, WILTON",,Cork,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/03/2014,"CHAPEL HILL, CARLINGFORD, LOUTH",,Louth,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2020,"MAIN ST, BUNCLODY, WEXFORD",,Wexford,"€123,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2016,"36 BENEAVIN DR, GLASNEVIN, DUBLIN 11",Dublin 11,Dublin,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/08/2014,"42 BEACH PARK, PORTMARNOCK, DUBLIN",Dublin 13,Dublin,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2014,"67 UPPER DARGLE RD, BRAY, WICKLOW",,Wicklow,"€187,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2016,"8 The Hamlet, Woulfe Avenue, Lehenaghmore",,Cork,"€339,206.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/09/2016,"87 FERNWALK, GREENFIELDS, BALLINCOLLIG",Dublin 6,Cork,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2019,"49 ESKER LODGE, LUCAN, DUBLIN",,Dublin,"€480,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2012,"Kensington, East Douglas Village, Douglas",,Cork,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/08/2017,"8 Oaktree Road, 'Cunnaberry Hill', Tully Road",,Kildare,"€226,872.24",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
31/10/2017,"1 KINCORA HARBOUR APTS, KINCORA HARBOUR, KILLALOE",,Clare,"€328,795.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2014,"129 ADELAIDE SQ, WHITEFRIAR ST, DUBLIN 8",Dublin 8,Dublin,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/02/2021,"16 The Avenue, Carrickmines Manor, Glenamuck Road",,Dublin,"€466,960.35",No,Yes,New Dwelling house /Apartment,
24/08/2020,"EAST END, INISBOFIN ISLAND, CO GALWAY",,Galway,"€32,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2014,"Chatham Court, Apartments/Units 1-9, Chatham Street",Dublin 2,Dublin,"€6,091,057.00",No,No,Second-Hand Dwelling house /Apartment,
09/05/2017,"18 MC DONAGH TERRACE, TEMPLEMORE, TIPPERARY",,Tipperary,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2017,"92 PRIORY COURT, EDEN GATE, DELGANY",,Wicklow,"€166,666.66",No,No,Second-Hand Dwelling house /Apartment,
