Date_of_Sale,Postal_Code,County,Price_€_VAT_incl,Description_of_Property,Property_Size_Description,Month_of_Sale,Quarter_of_Sale
2019-04-24,unknown,Kildare,146000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2021-12-22,unknown,Kildare,368166.0,New Dwelling house /Apartment,unknown,December,4
2017-06-06,unknown,Waterford,240000.0,New Dwelling house /Apartment,>= 125,June,2
2017-01-17,dublin 6,Dublin,565000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2019-04-08,unknown,Westmeath,388500.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2014-09-16,unknown,Dublin,265000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2012-09-13,unknown,Cork,180000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2014-07-18,unknown,Westmeath,48000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-02-22,unknown,Kildare,200001.0,New Dwelling house /Apartment,unknown,February,1
2021-03-18,dublin 22,Dublin,210000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2017-06-09,unknown,Dublin,323986.0,New Dwelling house /Apartment,38 - 125,June,2
2018-12-19,unknown,Sligo,225000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-10-27,unknown,Meath,224000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-06-16,dublin 14,Dublin,790000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2019-06-17,unknown,Cork,315000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2015-02-12,unknown,Cavan,23858.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2014-09-10,unknown,Dublin,250000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2016-02-02,unknown,Dublin,870000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2017-07-07,dublin 16,Dublin,810000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-12-20,unknown,Limerick,53000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2015-10-19,unknown,Carlow,154000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2016-10-07,unknown,Laois,70000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-09-06,unknown,Clare,215000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2016-07-27,unknown,Cork,101667.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2012-03-15,unknown,Wexford,89000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2019-02-15,dublin 12,Dublin,451730.0,New Dwelling house /Apartment,unknown,February,1
2015-03-09,dublin 13,Dublin,260000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2019-08-30,unknown,Wexford,125000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2021-10-01,unknown,Leitrim,110000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-06-30,unknown,Offaly,150000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2012-01-30,unknown,Galway,23858.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2017-03-08,unknown,Dublin,333073.0,New Dwelling house /Apartment,< 38,March,1
2012-11-23,unknown,Louth,175000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2016-08-11,unknown,Laois,64000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2016-10-11,unknown,Cork,52500.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2014-12-22,unknown,Galway,80000.0,New Dwelling house /Apartment,< 38,December,4
2019-10-18,unknown,Dublin,430000.0,New Dwelling house /Apartment,unknown,October,4
2018-06-01,dublin 11,Dublin,215000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2017-07-10,unknown,Tipperary,150000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2011-09-16,unknown,Cavan,97001.0,New Dwelling house /Apartment,>= 125,September,3
2015-05-28,unknown,Kildare,229000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2012-09-05,unknown,Dublin,200000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-11-23,dublin 15,Dublin,200000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2017-11-28,dublin 15,Dublin,950000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2015-11-02,unknown,Galway,290000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2016-04-29,unknown,Dublin,403000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2019-12-20,unknown,Sligo,245000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2012-08-22,dublin 7,Dublin,240050.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2017-08-14,unknown,Dublin,278000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2016-10-19,dublin 24,Dublin,180000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2020-03-10,unknown,Galway,255000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2020-12-11,unknown,Galway,190000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-12-19,unknown,Meath,127000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-01-28,dublin 14,Dublin,423000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2012-09-13,unknown,Cork,165001.0,New Dwelling house /Apartment,38 - 125,September,3
2020-07-31,unknown,Mayo,56316.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2011-12-01,unknown,Kildare,60000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-09-07,unknown,Dublin,230000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-08-26,dublin 16,Dublin,526020.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2011-12-09,unknown,Leitrim,118536.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-09-07,dublin 6w,Dublin,600000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2014-02-14,unknown,Meath,147550.0,New Dwelling house /Apartment,38 - 125,February,1
2018-09-25,unknown,Sligo,106000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-03-04,unknown,Dublin,295000.0,New Dwelling house /Apartment,unknown,March,1
2011-07-15,unknown,Kildare,445000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-09-24,unknown,Galway,140000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2010-09-13,dublin 4,Dublin,184000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-02-18,unknown,Wicklow,285000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2014-12-18,unknown,Galway,97500.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-04-08,unknown,Cork,380000.0,New Dwelling house /Apartment,unknown,April,2
2016-04-27,unknown,Cork,89992.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2015-09-25,unknown,Louth,96000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2020-12-04,unknown,Wexford,164500.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2019-08-01,dublin 8,Dublin,275000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2017-04-13,unknown,Meath,480000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2014-07-17,unknown,Longford,240000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2020-12-22,unknown,Kilkenny,155000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2020-05-08,unknown,Kerry,122500.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-06-25,unknown,Dublin,302500.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2020-11-12,unknown,Dublin,365000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2014-06-19,unknown,Tipperary,125000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2014-07-11,unknown,Dublin,149885.0,New Dwelling house /Apartment,38 - 125,July,3
2021-02-12,unknown,Dublin,300759.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2019-10-16,unknown,Mayo,1390400.0,New Dwelling house /Apartment,unknown,October,4
2019-04-05,unknown,Carlow,215000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2016-12-20,unknown,Louth,259999.0,New Dwelling house /Apartment,38 - 125,December,4
2021-11-24,unknown,Clare,155000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-12-04,dublin 10,Dublin,210000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2013-09-04,unknown,Laois,67500.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-09-16,unknown,Waterford,265000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2017-05-11,dublin 8,Dublin,90000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2021-07-08,unknown,Galway,180000.0,New Dwelling house /Apartment,unknown,July,3
2018-01-02,unknown,Westmeath,195000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2014-12-10,unknown,Galway,25000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-05-31,dublin 6w,Dublin,520000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2016-12-12,unknown,Cork,219999.0,New Dwelling house /Apartment,38 - 125,December,4
2015-12-23,dublin 8,Dublin,137500.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2020-05-29,unknown,Louth,535000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2017-10-20,unknown,Kildare,130000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2018-12-19,unknown,Kildare,570000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2016-07-05,dublin 4,Dublin,585000.0,New Dwelling house /Apartment,38 - 125,July,3
2018-09-13,unknown,Westmeath,225865.0,New Dwelling house /Apartment,38 - 125,September,3
2019-07-15,unknown,Longford,95000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2020-04-02,unknown,Galway,66000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2017-06-27,unknown,Kildare,135000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2012-04-11,unknown,Dublin,1390400.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2021-12-09,unknown,Laois,275000.0,New Dwelling house /Apartment,unknown,December,4
2021-07-20,unknown,Dublin,565000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2017-11-01,unknown,Kilkenny,350000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-06-20,unknown,Limerick,132500.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2020-12-23,unknown,Donegal,800000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-02-14,unknown,Cork,237000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2017-08-17,unknown,Sligo,50000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2019-06-14,dublin 8,Dublin,300000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2017-07-21,unknown,Dublin,607225.0,New Dwelling house /Apartment,38 - 125,July,3
2021-09-30,dublin 14,Dublin,1040000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-09-30,unknown,Galway,145000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-11-22,dublin 15,Dublin,240000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-01-16,unknown,Kerry,275000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2011-06-01,unknown,Cork,257000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2019-11-01,unknown,Limerick,100000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2019-08-12,unknown,Offaly,244050.0,New Dwelling house /Apartment,unknown,August,3
2020-03-06,unknown,Wexford,120000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2016-11-29,unknown,Donegal,108500.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2016-12-14,dublin 18,Dublin,530000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-01-29,unknown,Offaly,245000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2012-05-31,unknown,Limerick,85125.0,New Dwelling house /Apartment,38 - 125,May,2
2018-12-19,dublin 18,Dublin,472500.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-12-11,unknown,Westmeath,97500.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2021-05-28,unknown,Clare,170000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2021-03-19,unknown,Monaghan,340000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2019-07-23,unknown,Limerick,235000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2014-03-03,unknown,Galway,33929.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2020-01-03,unknown,Mayo,75000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2016-10-25,dublin 12,Dublin,272000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2018-10-19,unknown,Wicklow,260000.0,New Dwelling house /Apartment,38 - 125,October,4
2021-05-05,unknown,Sligo,310000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2013-11-22,dublin 6,Dublin,495000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2017-03-09,unknown,Mayo,85000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2015-07-31,unknown,Kerry,230000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-04-17,unknown,Louth,200000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2019-09-18,unknown,Kerry,50000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-11-29,unknown,Wexford,459675.0,New Dwelling house /Apartment,unknown,November,4
2015-05-01,unknown,Laois,46000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-01-30,dublin 6,Dublin,346000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2016-04-29,unknown,Dublin,525000.0,New Dwelling house /Apartment,38 - 125,April,2
2016-11-04,unknown,Kerry,247700.0,New Dwelling house /Apartment,38 - 125,November,4
2017-01-04,unknown,Galway,115000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2011-12-02,dublin 3,Dublin,305000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-12-23,unknown,Donegal,75000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-06-23,unknown,Galway,23858.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2020-07-23,unknown,Mayo,285000.0,New Dwelling house /Apartment,unknown,July,3
2021-11-04,unknown,Wexford,170000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2014-05-08,unknown,Dublin,865000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2021-07-30,dublin 3,Dublin,332000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2021-11-10,unknown,Cork,172000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2014-10-31,unknown,Mayo,39725.0,New Dwelling house /Apartment,38 - 125,October,4
2018-11-29,dublin 12,Dublin,350000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2015-06-18,unknown,Laois,155000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2016-12-13,unknown,Dublin,264923.0,New Dwelling house /Apartment,38 - 125,December,4
2020-08-07,unknown,Clare,131000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2018-06-13,unknown,Cork,370000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2019-10-30,unknown,Cavan,90000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2014-12-15,unknown,Donegal,31000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-03-28,unknown,Westmeath,50000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2012-07-03,unknown,Cork,231656.0,New Dwelling house /Apartment,38 - 125,July,3
2021-06-04,unknown,Dublin,275000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2010-12-23,unknown,Dublin,527000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-11-17,dublin 24,Dublin,317500.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2017-05-10,unknown,Dublin,365000.0,New Dwelling house /Apartment,38 - 125,May,2
2019-05-22,unknown,Clare,161000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2020-11-09,unknown,Meath,190000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2016-05-12,unknown,Waterford,245000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2020-03-24,unknown,Offaly,235500.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2015-08-04,unknown,Waterford,195000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2015-04-01,unknown,Carlow,110000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2020-01-06,unknown,Dublin,370000.0,New Dwelling house /Apartment,unknown,January,1
2018-05-15,unknown,Galway,52000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2013-11-08,unknown,Kildare,244999.0,New Dwelling house /Apartment,38 - 125,November,4
2019-06-07,unknown,Wexford,35000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2015-06-25,unknown,Cork,272000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2017-07-05,unknown,Dublin,255000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2021-03-25,unknown,Dublin,795000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2016-09-23,dublin 6,Dublin,280000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2021-07-19,unknown,Dublin,1390400.0,New Dwelling house /Apartment,unknown,July,3
2021-09-03,unknown,Meath,485000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2010-10-22,unknown,Dublin,391575.0,New Dwelling house /Apartment,38 - 125,October,4
2018-08-29,dublin 12,Dublin,400000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2021-10-14,unknown,Westmeath,275000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2018-05-25,unknown,Cavan,252500.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2011-08-26,unknown,Cork,73000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2018-07-06,unknown,Kilkenny,455000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2012-05-02,unknown,Dublin,260000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2020-07-27,unknown,Meath,68182.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-03-08,unknown,Waterford,215000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2020-06-29,unknown,Cavan,72000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2021-01-18,dublin 16,Dublin,450000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2014-04-30,unknown,Galway,260000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2011-04-19,unknown,Meath,158546.0,New Dwelling house /Apartment,>= 125,April,2
2011-10-03,unknown,Limerick,195000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2014-10-03,unknown,Laois,100000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2014-11-07,unknown,Cork,70900.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2010-10-08,unknown,Donegal,100000.0,New Dwelling house /Apartment,>= 125,October,4
2014-06-26,dublin 9,Dublin,300000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2014-10-10,dublin 3,Dublin,143000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2021-10-21,unknown,Galway,70000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-09-13,unknown,Dublin,380000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2019-12-19,unknown,Meath,210000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2016-03-04,dublin 22,Dublin,188000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2016-12-16,dublin 13,Dublin,261000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2012-12-21,unknown,Dublin,100000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-12-20,dublin 4,Dublin,1390400.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2011-04-11,unknown,Limerick,164750.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2017-12-11,unknown,Meath,325000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2016-05-04,dublin 16,Dublin,737750.0,New Dwelling house /Apartment,>= 125,May,2
2017-12-20,unknown,Cork,590000.0,New Dwelling house /Apartment,38 - 125,December,4
2020-08-26,unknown,Clare,150000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2018-03-12,unknown,Meath,309999.0,New Dwelling house /Apartment,38 - 125,March,1
2013-10-23,unknown,Cork,155000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2016-11-24,unknown,Galway,141875.0,New Dwelling house /Apartment,38 - 125,November,4
2019-05-10,dublin 18,Dublin,276000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2019-12-20,unknown,Dublin,374999.0,New Dwelling house /Apartment,unknown,December,4
2020-12-11,unknown,Wexford,250000.0,New Dwelling house /Apartment,unknown,December,4
2019-04-11,unknown,Galway,312793.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2019-05-23,unknown,Dublin,875000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2018-06-22,unknown,Galway,200000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2019-11-18,unknown,Tipperary,297500.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2015-03-03,unknown,Cork,250000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2021-10-04,unknown,Cork,225000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2016-07-01,unknown,Cork,252500.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2017-11-09,unknown,Galway,140000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2013-04-19,unknown,Clare,214000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2019-01-17,unknown,Longford,115000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2014-10-15,unknown,Cork,185000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2012-11-22,unknown,Dublin,175000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-12-18,unknown,Cork,150000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-10-14,unknown,Galway,100000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2020-12-03,unknown,Kerry,150000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2016-11-28,unknown,Cork,240022.0,New Dwelling house /Apartment,38 - 125,November,4
2014-09-04,unknown,Cork,137500.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2020-10-23,unknown,Kildare,220000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2012-12-13,unknown,Galway,400000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-04-27,unknown,Kilkenny,415000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2015-05-06,dublin 9,Dublin,152746.0,New Dwelling house /Apartment,38 - 125,May,2
2013-12-23,unknown,Cork,125000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-01-08,unknown,Longford,145000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2010-09-16,unknown,Dublin,147550.0,New Dwelling house /Apartment,38 - 125,September,3
2019-07-26,unknown,Galway,645000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2021-09-08,unknown,Limerick,240000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2018-06-18,dublin 5,Dublin,360000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2014-03-14,unknown,Dublin,359999.0,New Dwelling house /Apartment,38 - 125,March,1
2016-08-30,unknown,Galway,142250.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2017-07-31,unknown,Dublin,700000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2014-06-12,unknown,Meath,165000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2019-03-13,unknown,Donegal,167000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2017-11-17,unknown,Waterford,280000.0,New Dwelling house /Apartment,38 - 125,November,4
2019-11-19,unknown,Limerick,270000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2013-10-18,unknown,Sligo,90000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-04-12,unknown,Donegal,135000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2013-04-16,unknown,Dublin,680000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2015-03-18,unknown,Galway,23858.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2013-05-14,unknown,Louth,425625.0,New Dwelling house /Apartment,38 - 125,May,2
2011-07-26,dublin 8,Dublin,185000.0,New Dwelling house /Apartment,38 - 125,July,3
2014-12-15,dublin 12,Dublin,355000.0,New Dwelling house /Apartment,38 - 125,December,4
2016-12-15,unknown,Donegal,89000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-09-17,unknown,Kildare,334000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2015-05-28,unknown,Donegal,60000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2015-03-10,unknown,Leitrim,110000.0,New Dwelling house /Apartment,38 - 125,March,1
2021-09-15,unknown,Dublin,505000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2017-11-23,unknown,Laois,415000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2020-07-28,dublin 11,Dublin,335000.0,New Dwelling house /Apartment,unknown,July,3
2011-09-01,unknown,Dublin,240000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2012-11-13,dublin 24,Dublin,260000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2020-03-23,unknown,Dublin,320000.0,New Dwelling house /Apartment,unknown,March,1
2021-07-16,unknown,Galway,178000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2015-12-15,dublin 5,Dublin,315000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2019-12-19,unknown,Dublin,315000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-02-07,unknown,Galway,350000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2016-08-01,unknown,Kildare,102858.0,New Dwelling house /Apartment,38 - 125,August,3
2020-11-12,unknown,Wexford,122000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2021-03-01,unknown,Roscommon,60000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2019-10-29,unknown,Waterford,127000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2018-12-18,dublin 8,Dublin,316000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2014-12-19,unknown,Cork,75000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2017-10-31,unknown,Waterford,90000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2020-11-16,unknown,Cork,476727.0,New Dwelling house /Apartment,unknown,November,4
2017-10-19,dublin 9,Dublin,410000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-10-18,unknown,Donegal,79000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2021-01-12,unknown,Cork,425625.0,New Dwelling house /Apartment,unknown,January,1
2015-07-21,unknown,Galway,60000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2017-02-22,unknown,Limerick,265000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2014-07-25,unknown,Limerick,83000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-12-19,unknown,Wexford,200000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2018-02-01,unknown,Tipperary,50000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2013-06-20,unknown,Kildare,151000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2018-09-20,dublin 12,Dublin,412000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2016-02-22,unknown,Galway,127000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2012-07-17,unknown,Kilkenny,105000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2020-02-24,unknown,Cork,150000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2019-03-07,unknown,Kildare,327000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
