Date_of_Sale,Postal_Code,County,Price_€_VAT_incl,Description_of_Property,Property_Size_Description,Month_of_Sale,Quarter_of_Sale
2018-08-01,unknown,Cork,301000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2017-07-07,unknown,Longford,100000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2018-11-23,unknown,Laois,295000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2020-07-17,dublin 24,Dublin,365000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2016-12-09,unknown,Longford,92000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2011-05-09,unknown,Roscommon,100000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2021-01-25,unknown,Dublin,1390400.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2020-10-27,unknown,Limerick,185000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-11-25,dublin 22,Dublin,222000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2013-12-16,unknown,Roscommon,170250.0,New Dwelling house /Apartment,< 38,December,4
2022-01-07,unknown,Cork,475000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2010-09-16,unknown,Meath,205000.0,Second-Hand Dwelling house /Apartment,unknown,September,3
2013-12-19,unknown,Kildare,400000.0,New Dwelling house /Apartment,>= 125,December,4
2021-01-18,dublin 9,Dublin,243000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2013-05-29,unknown,Clare,123000.0,Second-Hand Dwelling house /Apartment,unknown,May,2
2016-12-09,unknown,Waterford,188000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2012-11-23,unknown,Dublin,259999.0,New Dwelling house /Apartment,38 - 125,November,4
2021-11-25,unknown,Limerick,300000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2015-07-16,unknown,Clare,80000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2016-07-12,unknown,Wicklow,100000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2019-10-29,unknown,Waterford,260000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2017-02-20,unknown,Cork,220000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2020-07-07,unknown,Dublin,216000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2011-11-30,unknown,Dublin,278000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2012-08-02,unknown,Meath,102000.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2015-08-19,unknown,Mayo,32500.0,Second-Hand Dwelling house /Apartment,unknown,August,3
2016-11-08,unknown,Donegal,180000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2020-10-12,dublin 24,Dublin,215000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2019-10-15,unknown,Kildare,238000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2011-11-14,unknown,Dublin,480000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2010-06-30,unknown,Kerry,115000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2021-03-29,dublin 5,Dublin,650000.0,Second-Hand Dwelling house /Apartment,unknown,March,1
2014-02-07,dublin 18,Dublin,162000.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2017-07-07,unknown,Westmeath,125000.0,Second-Hand Dwelling house /Apartment,unknown,July,3
2020-02-04,unknown,Limerick,143281.0,Second-Hand Dwelling house /Apartment,unknown,February,1
2020-06-30,unknown,Cavan,217000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2012-12-21,unknown,Wicklow,256000.0,Second-Hand Dwelling house /Apartment,unknown,December,4
2019-01-04,unknown,Kilkenny,105000.0,Second-Hand Dwelling house /Apartment,unknown,January,1
2016-10-17,dublin 6w,Dublin,570000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2020-06-25,unknown,Longford,60000.0,Second-Hand Dwelling house /Apartment,unknown,June,2
2015-11-06,dublin 8,Dublin,237540.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2015-04-30,unknown,Cork,210000.0,Second-Hand Dwelling house /Apartment,unknown,April,2
2016-11-02,unknown,Wicklow,352000.0,Second-Hand Dwelling house /Apartment,unknown,November,4
2018-10-16,unknown,Kerry,130000.0,Second-Hand Dwelling house /Apartment,unknown,October,4
2012-01-12,unknown,Cork,114999.0,New Dwelling house /Apartment,38 - 125,January,1
2020-01-14,dublin 8,Dublin,252500.0,Second-Hand Dwelling house /Apartment,unknown,January,1
